id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
2100228140,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100228187,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100228194,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100228196,Woman,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",crossing at a marked crossing
2100228236,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100228360,man,"inattention, distraction",,another situation
2100228361,man,good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,Crossing outside the crossing (20 metres or more from the crossing)
2100228370,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100228450,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100228480,another group,not detected,,another situation
2100228529,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100228616,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100228631,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100228645,Woman,good no adverse circumstances were found,,pedestrian entering on the STOP signal
2100228654,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100228656,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,Crossing outside the crossing (20 metres or more from the crossing)
2100228686,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100228722,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,another situation
2100228839,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100228870,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100228899,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100228939,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100229075,child (up to 15 years),"inattention, distraction",Side impact,another situation
2100229098,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
2100229105,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100229192,another group,not detected,,another situation
2100229200,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100229242,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100229288,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100229292,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100229294,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100229299,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100229408,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",pedestrian entering on the STOP signal
2100229465,man,good no adverse circumstances were found,,pedestrian entering on the STOP signal
2100229513,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100229541,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100229637,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2100229640,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
2100229642,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100229646,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
2100229659,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
2100229691,another group,not detected,,another situation
2100229695,Woman,good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,pedestrian entering on the STOP signal
2100229723,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100229735,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100229779,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100229804,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2100229838,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
